Transaction_Amount,Account_Balance,IP_Address_Flag,Previous_Fraudulent_Activity,Daily_Transaction_Count,Avg_Transaction_Amount_7d,Card_Age,Transaction_Distance,Is_Weekend,Hour,Day,High_Amount,High_Distance,High_Frequency,Behavior_Risk,Transaction_Type_Bank Transfer,Transaction_Type_Online,Transaction_Type_POS,Device_Type_Mobile,Device_Type_Tablet,Location_Mumbai,Location_New York,Location_Sydney,Location_Tokyo,Merchant_Category_Electronics,Merchant_Category_Groceries,Merchant_Category_Restaurants,Merchant_Category_Travel,Card_Type_Discover,Card_Type_Mastercard,Card_Type_Visa,Authentication_Method_OTP,Authentication_Method_PIN,Authentication_Method_Password,Actual_Fraud,Predicted_Fraud,Fraud_Probability
212.95,11664.2,False,False,1,251.44,7,2391.46,False,12,8,False,True,False,1,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,0,0,0.3461566823277164
2.28,71602.44,False,False,3,27.29,110,1899.05,True,14,28,False,True,False,1,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,1,1,0.4344025209399511
69.26,30035.34,False,False,9,175.74,2,3678.91,False,22,24,False,True,False,1,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,1,0,0.34935192286346584
4.3,56769.95,False,False,6,26.18,60,2315.42,False,10,11,False,True,False,1,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,1,1,0.3700769791858502
86.39,55451.54,False,False,9,118.51,204,3884.15,False,9,23,False,True,False,1,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,1,0,0.3360357539418001
28.35,39072.33,False,False,3,484.12,92,1104.4,False,1,21,False,True,False,1,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,0,0,0.31755172062467096
238.29,79041.84,False,True,3,82.29,199,2094.92,True,0,30,False,True,False,1,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,0,1,0.4262634912706364
53.89,33422.89,False,False,1,474.46,22,4819.83,False,20,6,False,True,False,1,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,True,False,1,0,0.3467717744607239
558.0,82990.67,False,True,12,430.87,116,3836.48,True,18,25,True,True,True,3,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,0,1,0.4343207372438566
103.92,33043.73,False,False,10,98.11,73,4774.78,False,14,30,False,True,False,1,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,1,1,0.3593518289441722
178.56,62359.52,False,False,4,491.21,29,2159.31,True,10,16,False,True,False,1,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,1,1,0.561393106579132
116.81,7643.21,False,False,1,455.39,98,4571.04,False,16,17,False,True,False,1,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,1,1,0.38137785048238104
29.65,45922.48,False,True,14,132.1,185,1527.21,False,23,3,False,True,True,2,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,True,1,0,0.3018286686012723
35.18,57676.0,False,False,5,131.62,117,523.55,False,13,30,False,False,False,0,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,0,1,0.35011888533217306
21.27,7099.18,False,False,8,377.02,175,3758.51,False,3,31,False,True,False,1,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,0,1,0.3838777101541941
148.16,7927.09,False,False,3,416.3,39,256.27,False,14,8,False,False,False,0,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,0,1,0.4416614583463589
53.55,946.0,False,False,14,321.12,228,4460.41,False,4,22,False,True,True,2,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,0,1,0.38729418768302154
64.71,13389.53,False,False,9,487.41,145,4971.17,True,7,23,False,True,False,1,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,0,1,0.5270776611950945
18.78,91373.92,False,False,4,179.56,230,4039.27,True,14,23,False,True,False,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,1,0,0.2883446124688312
26.02,99424.23,False,False,6,410.04,69,2111.88,False,0,29,False,True,False,1,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,0,0,0.28954738094745003
33.38,38646.34,False,False,3,449.14,84,2819.79,False,13,5,False,True,False,1,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,1,0,0.31210351099690953
174.53,9994.1,False,False,14,149.52,72,3723.2,False,2,3,False,True,True,2,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,0,0,0.3142722897664515
105.04,28328.1,False,False,14,364.97,183,3610.11,False,0,11,False,True,True,2,False,False,True,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,0,0,0.3411072607029231
223.97,47142.72,False,False,8,67.2,178,3899.51,True,7,30,False,True,False,1,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,0,1,0.43163883712189344
0.11,81026.94,False,False,12,255.25,26,2513.52,True,7,11,False,True,True,2,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,0,1,0.4189012291515748
9.65,63801.91,False,True,3,14.6,44,3667.55,False,22,6,False,True,False,1,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,1,1,0.35880647782145775
126.76,61265.5,False,False,3,175.24,147,293.62,False,21,2,False,False,False,0,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,0,0,0.30013270743345505
30.58,7507.14,False,False,7,102.32,49,2469.85,False,5,13,False,True,False,1,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,1,0,0.3491035374316093
45.03,26560.92,False,False,3,475.9,45,222.93,True,18,20,False,False,False,0,False,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False,False,True,False,0,1,0.45829837388941974
75.33,28606.23,False,False,10,402.3,17,1288.12,True,1,25,False,True,False,1,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,0,1,0.37342391511228906
9.03,5494.4,False,False,8,73.32,47,2447.69,False,22,27,False,True,False,1,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,0,1,0.35225565195944186
143.37,35051.59,False,False,9,93.42,218,630.14,False,18,31,False,False,False,0,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,True,0,1,0.40485807318954187
77.97,14405.72,False,False,14,259.19,107,2331.25,False,18,5,False,True,True,2,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,0,0,0.25224189295936106
34.84,24156.52,False,False,12,462.53,163,1268.73,False,3,15,False,True,True,2,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,0,1,0.41783051891421735
7.15,74236.36,False,False,13,492.65,128,4428.25,False,13,18,False,True,True,2,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0.3190154510597128
135.88,9870.13,False,False,3,492.29,30,4561.52,False,2,11,False,True,False,1,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0,1,0.37401092860757773
51.69,11889.86,False,False,13,84.5,63,2843.45,False,7,15,False,True,True,2,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,0,1,0.3818790503997151
206.52,60700.16,False,False,10,27.41,41,1851.5,False,4,19,False,True,False,1,False,True,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,True,False,0,1,0.4032082796537326
45.79,22448.66,False,False,8,336.47,176,3592.28,False,10,23,False,True,False,1,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,1,1,0.36153370880261304
9.27,47620.88,False,False,13,24.12,180,4985.82,False,5,25,False,True,True,2,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,0,1,0.37701130989983256
119.1,39895.66,False,True,7,480.19,238,4339.85,False,15,28,False,True,False,1,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0,1,0.3867849718952965
52.14,51520.27,False,False,9,214.74,170,4508.34,True,17,22,False,True,False,1,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,1,1,0.41724611512584087
30.6,81632.66,False,False,9,46.51,233,4595.5,True,20,16,False,True,False,1,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,1,0,0.3115800137996612
127.75,34711.41,False,False,2,151.1,177,986.6,True,17,15,False,False,False,0,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,1,1,0.48286275922026667
436.97,48443.02,False,False,8,197.88,24,1939.39,True,18,28,False,True,False,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,0,0,0.31066607448930056
9.07,3349.34,False,False,3,319.78,148,4188.53,False,9,12,False,True,False,1,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,0,1,0.3830353338083311
99.91,80724.06,False,False,14,429.64,202,102.83,False,5,19,False,False,True,1,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,1,1,0.35801763282228555
119.84,55565.73,False,False,2,14.37,52,1811.12,False,13,15,False,True,False,1,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,0,0,0.33514915201430784
172.69,95727.19,False,False,1,311.37,221,4273.33,False,18,8,False,True,False,1,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,0,0,0.3405044263903262
20.24,92959.82,False,False,10,156.38,208,923.85,False,1,5,False,False,False,0,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,1,0,0.348219896771733
4.04,73303.67,False,False,4,189.37,142,1360.87,True,4,19,False,True,False,1,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,0,0,0.2676158085595961
258.12,62530.04,False,False,14,244.34,94,4965.8,True,19,26,False,True,True,2,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,0,1,0.37244615333034187
1.79,82299.26,False,False,10,361.27,208,3153.75,True,20,3,False,True,False,1,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,0,0,0.31200041144336393
1.85,6458.71,False,False,11,414.26,78,3608.82,False,14,16,False,True,True,2,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,1,0,0.3484902373826249
442.69,67426.45,False,False,11,492.36,166,1706.09,False,5,21,False,True,True,2,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,1,1,0.4215194430284645
119.7,73121.09,True,False,11,138.26,163,2285.07,True,16,24,False,True,True,2,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,0,1,0.36946066729946114
15.61,39575.04,False,False,10,183.92,41,1014.82,True,7,19,False,True,False,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,0,1,0.37170789156867173
8.13,54648.46,False,True,2,170.78,36,4103.1,True,14,4,False,True,False,1,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,1,1,0.36423636389005626
156.88,85347.64,False,False,3,31.62,232,3205.02,False,8,17,False,True,False,1,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,1,0,0.3400783615072541
47.97,59396.42,False,False,14,310.43,51,3310.05,False,19,18,False,True,True,2,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,0,0,0.3033989366628456
0.14,31156.62,False,False,5,315.16,116,1716.03,True,15,28,False,True,False,1,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,1,0,0.3464204787386644
130.9,71751.32,False,False,4,425.97,3,4594.92,True,16,6,False,True,False,1,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,0,1,0.4525870886181073
63.31,33634.44,False,False,9,301.46,235,2440.8,False,17,17,False,True,False,1,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,0,1,0.35259897623809927
110.69,22654.87,False,False,12,136.1,205,1261.08,False,19,12,False,True,True,2,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,1,1,0.4395230032535304
24.89,13908.1,False,False,13,111.25,44,1808.45,False,1,15,False,True,True,2,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,0,1,0.3614261641780141
221.54,10320.48,False,False,4,308.88,99,1875.43,False,19,3,False,True,False,1,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0,0.3396401350772733
49.87,44146.19,False,False,9,496.17,62,4517.27,True,20,17,False,True,False,1,False,False,True,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,0,1,0.378381050790119
15.2,52238.74,False,False,7,280.46,2,3426.24,False,12,29,False,True,False,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,1,0,0.3116318113151112
31.64,73439.26,False,False,3,66.67,49,4305.07,True,0,2,False,True,False,1,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,1,1,0.3620562716805517
68.07,73072.5,False,False,8,282.81,195,1045.0,True,9,1,False,True,False,1,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,0,1,0.4471740438023698
193.91,45015.24,False,False,5,459.78,123,765.37,False,6,28,False,False,False,0,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,0,1,0.45010550710159714
30.97,28795.18,False,False,11,55.07,163,2689.58,False,4,26,False,True,True,2,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0,0,0.3076588586994676
0.3,73416.11,False,False,5,336.29,183,4909.9,False,6,20,False,True,False,1,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,0,0,0.3349178527525459
65.92,31816.42,False,False,6,235.16,88,1083.26,False,21,23,False,True,False,1,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,0,1,0.4800337416339683
253.57,1848.03,False,False,11,179.42,53,4005.92,True,22,23,False,True,True,2,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,0,1,0.42465551989353895
59.55,98864.43,False,False,7,74.13,179,2314.04,False,5,7,False,True,False,1,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,0,1,0.3822207278834757
12.7,53365.38,False,False,3,184.81,179,2234.8,False,23,8,False,True,False,1,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,0,0,0.29193825939018053
106.69,28966.15,False,False,13,402.53,89,610.1,True,4,3,False,False,True,1,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,0,1,0.411013202163134
9.52,79785.54,False,False,13,253.64,208,160.83,True,15,5,False,False,True,1,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,0,1,0.5116102634528502
204.51,80443.44,False,False,6,80.03,121,635.95,False,17,2,False,False,False,0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,0,0,0.3161761791038702
57.29,19049.47,False,False,7,77.67,96,3710.01,True,5,28,False,True,False,1,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,0,1,0.35239335795893195
2.99,71218.38,False,False,2,350.09,48,3188.81,False,15,1,False,True,False,1,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1,0,0.3148925018654619
147.68,6776.94,False,False,11,332.19,218,1238.26,False,8,31,False,True,True,2,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,1,1,0.35424646110196206
198.06,59886.54,False,False,9,449.91,82,1691.6,True,15,19,False,True,False,1,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,1,0.37400445888428885
172.34,61460.77,False,False,11,444.05,230,1225.52,False,23,10,False,True,True,2,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,0,1,0.36548626974751436
205.78,40677.95,False,False,9,195.49,212,837.51,False,13,24,False,False,False,0,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,1,1,0.3814649768155887
274.83,35667.52,False,True,2,169.06,233,2637.24,True,20,7,False,True,False,1,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,1,1,0.4093359489230124
106.61,74759.31,False,False,6,447.31,57,3906.82,False,11,4,False,True,False,1,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,0,1,0.36187764137113976
38.55,63652.61,False,False,10,111.04,102,1016.46,True,0,31,False,True,False,1,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,0,1,0.4233828094597761
60.21,1926.11,False,False,2,95.84,19,1436.11,False,8,13,False,True,False,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,0,0,0.3395858961376393
1.11,49456.18,False,False,13,339.4,199,1086.4,True,1,17,False,True,True,2,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0,1,0.42775920878366996
66.98,52410.88,False,False,8,108.76,206,1175.47,True,10,18,False,True,False,1,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,1,1,0.40429725949741735
10.7,81365.03,False,False,1,483.44,180,4117.32,True,8,11,False,True,False,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,0,0,0.27885825025579936
64.76,58230.27,False,False,5,454.26,35,4377.35,True,17,19,False,True,False,1,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,0,0,0.3176402029175228
95.68,3332.59,False,False,12,454.24,106,4369.67,False,23,12,False,True,True,2,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0,1,0.38641323982612324
44.6,57320.38,False,False,2,94.96,24,4020.93,True,7,8,False,True,False,1,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,0,1,0.43894332519763635
58.79,42122.24,False,False,6,315.67,78,1647.5,False,16,24,False,True,False,1,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,1,1,0.3703266807561246
263.54,74801.87,False,False,9,20.44,226,4944.83,False,14,19,False,True,False,1,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,0,1,0.3923946142389235
79.18,18481.85,False,False,11,153.86,97,650.22,False,10,2,False,False,True,1,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,1,0,0.3223508020080979
37.11,57242.48,False,False,8,312.87,199,2378.37,False,9,29,False,True,False,1,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,0,1,0.43685222657061157
277.72,78469.46,False,False,6,461.78,153,3243.33,False,12,8,False,True,False,1,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,0,1,0.41233124783580016
10.4,84420.49,False,False,6,465.64,156,2708.85,False,11,14,False,True,False,1,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,1,1,0.49770632381019875
55.09,25122.39,False,False,12,181.62,92,17.76,False,14,19,False,False,True,1,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,1,1,0.37825569856593516
326.67,74236.8,False,False,11,24.45,186,2742.21,False,22,15,False,True,True,2,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,1,0,0.3292752617185631
99.65,84186.31,False,False,4,260.52,202,3550.39,False,19,12,False,True,False,1,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,1,0,0.3343612901715376
88.88,23041.95,False,True,6,282.32,8,1073.14,False,8,30,False,True,False,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,1,0,0.3163024752183727
23.9,98422.59,False,False,7,364.98,173,3498.23,False,17,25,False,True,False,1,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0,0,0.28398632988871125
40.11,13368.27,False,False,3,92.87,2,452.36,False,23,18,False,False,False,0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,1,0,0.3338683921095089
97.22,33598.81,False,False,1,382.0,138,429.55,False,11,9,False,False,False,0,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,0,1,0.48850073552736684
183.86,15864.21,False,False,3,142.86,173,3449.14,True,14,2,False,True,False,1,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,0,1,0.3619933315300365
216.39,56265.65,False,False,14,201.32,239,554.71,False,17,1,False,False,True,1,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,0,0,0.3288718279865735
61.7,28252.44,False,False,9,209.32,72,557.22,False,2,10,False,False,False,0,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,0,1,0.46649782259407596
103.72,5878.79,False,True,3,60.13,6,1413.59,True,0,14,False,True,False,1,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,0,1,0.36772929946991445
160.29,66525.16,False,False,2,419.47,231,4925.33,True,16,6,False,True,False,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0,1,0.3926687775743026
35.59,90853.44,False,False,11,265.32,128,310.66,True,6,20,False,False,True,1,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,0,1,0.4648772014452048
143.11,73537.88,False,False,6,324.02,222,2562.76,False,2,4,False,True,False,1,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,1,0,0.28956814520086555
229.16,54158.88,False,False,4,180.5,49,1421.23,False,2,12,False,True,False,1,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,0,0,0.3423831634335134
12.51,85801.61,False,False,6,147.59,23,1374.02,True,22,21,False,True,False,1,True,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,True,False,0,1,0.41118931451077384
127.99,68973.01,False,False,11,99.62,135,85.8,False,19,7,False,False,True,1,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,0,0,0.3219379924645881
14.05,69675.59,False,False,8,39.58,62,2345.95,False,9,1,False,True,False,1,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,0,0,0.31275946353393314
229.81,74056.71,False,False,11,230.3,156,1884.41,False,19,26,False,True,True,2,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,0,1,0.3971752632480185
8.77,38517.28,False,False,8,158.33,4,2540.83,True,7,4,False,True,False,1,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,0,0,0.3207283963366493
26.98,17286.57,True,False,2,199.73,127,3539.31,False,4,2,False,True,False,1,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,0,1,0.3928043441198245
69.44,73538.12,False,False,13,161.61,235,3793.02,False,5,1,False,True,True,2,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,0,0,0.2734606596945526
61.46,56064.35,False,False,7,394.29,33,4214.36,False,6,29,False,True,False,1,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,1,0,0.32516374865448305
24.52,91234.69,True,False,3,221.19,106,3332.18,False,3,25,False,True,False,1,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,0,0,0.33398289907927736
213.49,54923.4,True,False,4,441.17,97,1963.79,False,2,19,False,True,False,1,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,1,1,0.42464975547454903
51.81,57493.57,True,False,10,362.2,163,378.97,True,23,18,False,False,False,0,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,0,1,0.4307117368519631
